Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/22/2021 12:44,1688.5,90,85,439,118.5,663,47.8,140
11/22/2021 12:14,1874.5,40,83,450.5,83,677,42.9,73.75
11/22/2021 11:44,1830,16,83,452,60,670.5,42.3,44.4
11/22/2021 11:14,1299,30,82,432,8,622,40.2,30.4
11/22/2021 10:44,1290.5,27,82,428,13,627,42,29.45
11/21/2021 17:35,1446,30,82,439.5,9.5,630,41.8,34.1
11/21/2021 15:57,799,22,82,274,2,572,41,13.3
11/21/2021 15:27,1827,19,82,456,30,676,41.1,44.3
11/21/2021 14:57,1743.5,96,83,450.5,76,682,39.3,151.3
11/21/2021 14:27,1847.5,34,83,452,71.5,682.5,39.7,66.5
11/21/2021 13:57,1790,80,83,450.5,71,673,38.7,129.1
11/21/2021 13:27,1299,26,82,432.5,5,623,37.5,26.25
11/21/2021 12:57,1409.5,43,82,437.5,16.5,638,38.6,46.55
11/21/2021 12:27,801,25,83,279.5,1.5,575.5,43.1,13.9
11/21/2021 10:41,800.5,27,83,280,1.5,580,39.1,14.5
11/21/2021 8:48,800.5,26,61,426.5,0.5,587,29.4,14.15
11/20/2021 20:04,799,25,82,276.5,2,579.5,40.1,14
11/20/2021 19:34,1627,69,83,443,86,673,38.9,112.1
11/20/2021 19:04,1780.5,82,83,452.5,79,676,40,136.55
11/20/2021 18:29,774.5,31,82,332.5,4.5,585.5,36.2,15.2
11/20/2021 17:59,1299.5,30,82,435,5.5,636,35.6,29
11/20/2021 17:29,1485,56,82,443,36.5,666,37.6,72.3
11/20/2021 16:59,1410.5,33,82,439.5,13,644,41,36.6
11/20/2021 16:29,801,24,82,276.5,2,576,42.9,13.65
11/20/2021 15:59,799,21,82,271,2,577.5,39,12.95
11/20/2021 15:29,1826,28,83,453,59,670.5,42.3,49.65
11/20/2021 14:59,800.5,25,83,272,1.5,579,41.5,14
11/20/2021 14:29,796.5,20,82,284,1.5,576,41,12.6
11/20/2021 13:59,800.5,26,82,280,2,577,40.7,13.9
11/20/2021 13:29,1301,30,83,426,5.5,638,42.5,30.3
11/20/2021 12:59,800,19,82,282,2,579.5,39.8,12.1
11/20/2021 12:29,799,22,83,281.5,1.5,581,39.7,13.05
11/20/2021 11:59,801,27,83,285.5,2,584.5,36.1,14.35
11/19/2021 15:47,800.5,18,82,286.5,1,574,33.2,11.65
11/19/2021 15:17,1295.5,28,82,434,6,627.5,32.5,27.45
11/19/2021 14:47,1723.5,92,83,454.5,49.5,649,35,134.55
11/19/2021 14:17,1728.5,62,82,452.5,68,673,34.5,111.25
11/19/2021 13:47,1897.5,34,82,454,87.5,646.5,33.8,65.2
11/19/2021 13:17,1767,97,83,452.5,77.5,639.5,34.8,150
11/19/2021 12:47,1697,100,82,458,41.5,615.5,34.8,137.3
11/19/2021 12:17,1743,68,82,453,61,681.5,35.7,120.2
11/19/2021 11:47,1738.5,44,83,455.5,39.5,656,36.8,80.15
11/19/2021 11:17,1814.5,28,83,456,49,655,38.4,58.65
11/19/2021 10:47,1299,26,82,430.5,6.5,617.5,39.9,26.95
11/19/2021 10:17,800.5,25,82,286.5,1.5,583.5,33.3,13.9
11/18/2021 20:19,799.5,26,82,280,2,581.5,33.9,14.25
11/18/2021 19:14,799.5,21,82,280.5,2,581,35.5,12.95
